Item Fat Content,Item Identifier,Item Type,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Rating,Outlet_Age,Item_Visibility_Log,Sales_Log
Low Fat,NCJ30,Household,OUT046,Tier 1,Small,Supermarket Type1,0.080640478,5.82,5.0,8,-2.5177545470972813,5.128590166839653
Low Fat,NCQ41,Health and Hygiene,OUT013,Tier 3,High,Supermarket Type1,0.01946418,14.8,5.0,10,-3.9391794257015063,5.285127764917577
Low Fat,DRJ35,Hard Drinks,OUT013,Tier 3,High,Supermarket Type1,0.046545786,10.1,5.0,10,-3.067318805672605,4.110673844170644
Low Fat,NCE31,Household,OUT013,Tier 3,High,Supermarket Type1,0.184689756,7.67,5.0,10,-1.6890778562278985,3.5951620052400304
Low Fat,FDY09,Snack Foods,OUT017,Tier 2,Medium,Supermarket Type1,0.025342692,15.6,5.0,4,-3.675264874530441,5.16652959578817
Low Fat,FDZ04,Frozen Foods,OUT013,Tier 3,High,Supermarket Type1,0.037923509,9.31,5.0,10,-3.2721840689567614,4.13757964290663
Low Fat,FDY07,Fruits and Vegetables,OUT045,Tier 2,Medium,Supermarket Type1,0.121848436,11.8,5.0,9,-2.104977334446723,3.867866290235644
Regular,FDO45,Snack Foods,OUT045,Tier 2,Medium,Supermarket Type1,0.038029746,13.15,5.0,9,-3.2693866360019537,4.496310221060552
Low Fat,FDB09,Fruits and Vegetables,OUT049,Tier 1,Medium,Supermarket Type1,0.057485328,16.25,5.0,12,-2.8562255289564065,4.84579681377415
Regular,FDP51,Meat,OUT046,Tier 1,Small,Supermarket Type1,0.085274988,13.85,5.0,8,-2.461874091398634,4.792582098244697
Regular,FDT50,Dairy,OUT013,Tier 3,High,Supermarket Type1,0.108148913,6.75,5.0,10,-2.224246177488873,4.571356906278394
Regular,FDQ08,Fruits and Vegetables,OUT027,Tier 3,Medium,Supermarket Type3,0.018838681,15.7,5.0,6,-3.971843022900489,4.158157820420077
Low Fat,DRL11,Hard Drinks,OUT045,Tier 2,Medium,Supermarket Type1,0.048115543,10.5,5.0,9,-3.0341500147755394,5.075764890514411
Low Fat,FDT34,Snack Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.174621343,9.3,5.0,12,-1.7451354036429096,4.656779230521318
Regular,FDP01,Breakfast,OUT010,Tier 3,Medium,Grocery Store,0.105994654,20.75,5.0,13,-2.244366620104169,5.021035688672052
Low Fat,NCJ31,Others,OUT013,Tier 3,High,Supermarket Type1,0.182501773,19.2,5.0,10,-1.7009953909382887,5.48155350498467
Low Fat,NCL30,Household,OUT035,Tier 2,Small,Supermarket Type1,0.048931174,18.1,5.0,7,-3.017340580508898,4.854633123539593
Low Fat,FDF04,Frozen Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.013658248,17.5,5.0,12,-4.29341169075189,5.550360862327968
Low Fat,NCZ42,Household,OUT049,Tier 1,Medium,Supermarket Type1,0.011305479,10.5,5.0,12,-4.48246780351735,5.466053065013573
Low Fat,FDG24,Baking Goods,OUT049,Tier 1,Medium,Supermarket Type1,0.014653896,7.975,5.0,12,-4.223049040307901,4.423948024637438
Low Fat,FDV49,Canned,OUT049,Tier 1,Medium,Supermarket Type1,0.025867353,10.0,5.0,12,-3.654773607307926,5.582076504343745
Low Fat,FDX01,Canned,OUT049,Tier 1,Medium,Supermarket Type1,0.024201905,10.1,5.0,12,-3.7213239299094103,4.752857163886857
Low Fat,DRF27,Dairy,OUT049,Tier 1,Medium,Supermarket Type1,0.028461453,8.93,5.0,12,-3.5592046335126146,5.031966164798085
Low Fat,FDF16,Frozen Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.086266286,7.3,5.0,12,-2.4503164177071164,4.998613993598389
Low Fat,FDU04,Frozen Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.005557062,7.93,5.0,12,-5.192685727647438,4.813333288591735
Low Fat,FDP04,Frozen Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.013834247,15.35,5.0,12,-4.280608094401909,4.1544482640695595
Low Fat,FDD05,Frozen Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.016637301,19.35,5.0,12,-4.09610805626407,4.803281427021202
Low Fat,FDV07,Fruits and Vegetables,OUT049,Tier 1,Medium,Supermarket Type1,0.031331581,9.5,5.0,12,-3.4631287124760486,4.719594699227716
Low Fat,FDT20,Fruits and Vegetables,OUT049,Tier 1,Medium,Supermarket Type1,0.041459804,10.5,5.0,12,-3.183030899433821,3.694274872630844
Low Fat,FDC44,Fruits and Vegetables,OUT049,Tier 1,Medium,Supermarket Type1,1e-09,15.6,5.0,12,-20.72326583694641,4.726961179042012
Low Fat,DRM59,Hard Drinks,OUT049,Tier 1,Medium,Supermarket Type1,0.003597678,5.88,5.0,12,-5.627466641622061,5.042778456266405
Low Fat,DRG23,Hard Drinks,OUT049,Tier 1,Medium,Supermarket Type1,0.086916126,8.88,5.0,12,-2.44281169430645,5.0393406578290785
Low Fat,NCJ29,Health and Hygiene,OUT049,Tier 1,Medium,Supermarket Type1,0.035247642,10.6,5.0,12,-3.3453566455783585,4.451114168346893
Low Fat,NCM42,Household,OUT049,Tier 1,Medium,Supermarket Type1,0.028365524,6.13,5.0,12,-3.5625808149034124,4.71035148558768
Low Fat,NCY42,Household,OUT049,Tier 1,Medium,Supermarket Type1,0.015186146,6.38,5.0,12,-4.187371714119044,4.983243542104283
Low Fat,NCX54,Household,OUT049,Tier 1,Medium,Supermarket Type1,0.048134591,9.195,5.0,12,-3.0337542127240082,4.6891638475846955
Low Fat,NCI06,Household,OUT049,Tier 1,Medium,Supermarket Type1,0.047791878,11.3,5.0,12,-3.040899570240131,5.20272014555133
Low Fat,NCQ02,Household,OUT049,Tier 1,Medium,Supermarket Type1,0.007468056,12.6,5.0,12,-4.897120554669822,5.236205764724607
Low Fat,NCR38,Household,OUT049,Tier 1,Medium,Supermarket Type1,0.113694957,17.25,5.0,12,-2.1742362327713005,5.539192382172543
Low Fat,NCM30,Household,OUT049,Tier 1,Medium,Supermarket Type1,0.067400032,19.1,5.0,12,-2.6971097862865405,3.7607255845167993
Low Fat,FDK43,Meat,OUT049,Tier 1,Medium,Supermarket Type1,0.026882496,9.8,5.0,12,-3.616279910495289,4.846562216359034
Low Fat,FDK21,Snack Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.010027885,7.905,5.0,12,-4.602385566641755,5.52402083846776
Low Fat,FDR45,Snack Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.028988288,10.8,5.0,12,-3.5408633926388777,5.481564328355992
Low Fat,FDV09,Snack Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.020600553,12.1,5.0,12,-3.882437358886719,5.001079112222839
Regular,FDU12,Baking Goods,OUT049,Tier 1,Medium,Supermarket Type1,0.075868843,15.5,5.0,12,-2.5787491795177746,5.5712288895363535
Regular,FDZ47,Baking Goods,OUT049,Tier 1,Medium,Supermarket Type1,0.079419755,20.7,5.0,12,-2.533008138149063,4.6131800214359036
Regular,FDO11,Breads,OUT049,Tier 1,Medium,Supermarket Type1,0.030311951,8.0,5.0,12,-3.4962132217886537,5.515077386410507
Regular,FDU49,Canned,OUT049,Tier 1,Medium,Supermarket Type1,0.030742083,19.5,5.0,12,-3.482122781293639,4.46076849661437
Regular,FDA02,Dairy,OUT049,Tier 1,Medium,Supermarket Type1,0.02976887,14.0,5.0,12,-3.5142920623503753,4.986879342701793
Regular,FDV26,Dairy,OUT049,Tier 1,Medium,Supermarket Type1,1e-09,20.25,5.0,12,-20.72326583694641,5.274431353568719
Regular,FDA04,Frozen Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.066833743,11.3,5.0,12,-2.7055471912465987,5.5541069884178915
Regular,FDO52,Frozen Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.077284566,11.6,5.0,12,-2.5602610069723246,5.155662192812545
Regular,FDA40,Frozen Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.09942555,16.0,5.0,12,-2.3083461560957876,4.4783090689583345
Regular,FDS27,Meat,OUT049,Tier 1,Medium,Supermarket Type1,0.012477512,10.195,5.0,12,-4.383827294889857,5.288827479674268
Regular,FDU15,Meat,OUT049,Tier 1,Medium,Supermarket Type1,0.026643448,13.65,5.0,12,-3.625212012255785,3.6623609255531275
Regular,FDV33,Snack Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.027386122,9.6,5.0,12,-3.5977188902510826,5.561567392459164
Regular,FDV34,Snack Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.011443222,10.695,5.0,12,-4.470357689327887,4.310850130796125
Regular,FDX46,Snack Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.058207114,12.3,5.0,12,-2.843747698037696,4.096944512752981
Low Fat,NCA53,Health and Hygiene,OUT049,Tier 1,Medium,Supermarket Type1,0.009893817,11.395,5.0,12,-4.615845262405892,3.9377570267836326
Regular,FDT24,Baking Goods,OUT049,Tier 1,Medium,Supermarket Type1,0.18614827,12.35,5.0,12,-1.6812117722870425,4.372390354501635
Regular,FDX27,Dairy,OUT049,Tier 1,Medium,Supermarket Type1,0.114294512,20.7,5.0,12,-2.168976723332331,4.563760518822089
Low Fat,NCQ38,Others,OUT019,Tier 1,Small,Grocery Store,0.023402893,16.35,5.0,6,-3.754895631781714,4.693437440699723
Low Fat,FDK02,Canned,OUT019,Tier 1,Small,Grocery Store,0.196490902,12.5,5.0,6,-1.627139148999164,4.800276337141465
Low Fat,FDI15,Dairy,OUT019,Tier 1,Small,Grocery Store,0.24749009,13.8,5.0,6,-1.3963847381790708,5.576662484992604
Low Fat,FDE09,Fruits and Vegetables,OUT019,Tier 1,Small,Grocery Store,0.037824735,8.775,5.0,6,-3.274792025280706,4.7070297805669385
Low Fat,FDS55,Fruits and Vegetables,OUT019,Tier 1,Small,Grocery Store,0.142107998,7.02,5.0,6,-1.951167961156158,5.0197496320403525
Low Fat,FDZ56,Fruits and Vegetables,OUT019,Tier 1,Small,Grocery Store,0.04506213,16.25,5.0,6,-3.099713074788986,5.127217015871386
Low Fat,NCA05,Health and Hygiene,OUT019,Tier 1,Small,Grocery Store,0.044000492,20.75,5.0,6,-3.12355446330821,5.005779523902995
Low Fat,NCK29,Health and Hygiene,OUT019,Tier 1,Small,Grocery Store,1e-09,5.614999999999999,5.0,6,-20.72326583694641,4.824088824915733
Low Fat,NCU29,Health and Hygiene,OUT019,Tier 1,Small,Grocery Store,0.044607722,7.685,5.0,6,-3.1098482959294946,4.990269308143383
Low Fat,NCX41,Health and Hygiene,OUT019,Tier 1,Small,Grocery Store,0.031024168,19.0,5.0,6,-3.472988765334048,5.354340358262398
Low Fat,NCG07,Household,OUT019,Tier 1,Small,Grocery Store,0.091924311,12.3,5.0,6,-2.386789747063576,5.250979397432767
Low Fat,NCI30,Household,OUT019,Tier 1,Small,Grocery Store,0.103188491,20.25,5.0,6,-2.271197953471469,5.502669459162744
Low Fat,NCR54,Household,OUT019,Tier 1,Small,Grocery Store,0.158562708,16.35,5.0,6,-1.8416051298379232,5.276639081304764
Low Fat,NCT06,Household,OUT019,Tier 1,Small,Grocery Store,0.067824456,17.1,5.0,6,-2.6908324411106634,5.128620975885191
Low Fat,FDN15,Meat,OUT019,Tier 1,Small,Grocery Store,0.029299175,17.5,5.0,6,-3.530195920352118,4.951012670112283
Low Fat,FDJ45,Seafood,OUT019,Tier 1,Small,Grocery Store,0.128532558,17.75,5.0,6,-2.0515730370897263,3.5616595307698806
Regular,FDL13,Breakfast,OUT019,Tier 1,Small,Grocery Store,0.098606543,13.85,5.0,6,-2.316617660548841,5.454166603010877
Regular,FDL02,Canned,OUT019,Tier 1,Small,Grocery Store,0.182236555,20.0,5.0,6,-1.7024496831054883,4.683631952324481
Regular,FDF56,Fruits and Vegetables,OUT019,Tier 1,Small,Grocery Store,0.209162936,16.7,5.0,6,-1.5646417326599422,5.1940540265505835
Regular,FDQ27,Meat,OUT019,Tier 1,Small,Grocery Store,0.077480627,5.19,5.0,6,-2.5577273480651406,4.628876946932723
Regular,FDG35,Starchy Foods,OUT019,Tier 1,Small,Grocery Store,0.012327847,21.2,5.0,6,-4.395894591813563,5.164064570917784
Regular,FDD38,Canned,OUT019,Tier 1,Small,Grocery Store,0.014342659,16.75,5.0,6,-4.244517035616282,4.651742654792747
Regular,FDE41,Frozen Foods,OUT019,Tier 1,Small,Grocery Store,1e-09,9.195,5.0,6,-20.72326583694641,4.439783619334568
Low Fat,FDP24,Baking Goods,OUT046,Tier 1,Small,Supermarket Type1,0.083004078,20.6,5.0,8,-2.488865539862382,4.791447242800361
Low Fat,FDH38,Canned,OUT046,Tier 1,Small,Supermarket Type1,0.01043823,6.425,5.0,8,-4.5622802511310985,4.7611546120459876
Low Fat,FDT49,Canned,OUT046,Tier 1,Small,Supermarket Type1,0.151405587,7.0,5.0,8,-1.887793036413953,4.688849350653046
Low Fat,FDN02,Canned,OUT046,Tier 1,Small,Supermarket Type1,0.073827748,16.5,5.0,8,-2.6060206288820305,5.346458748875465
Low Fat,DRF27,Dairy,OUT046,Tier 1,Small,Supermarket Type1,0.028417272,8.93,5.0,8,-3.56075814966072,5.046864357236652
Low Fat,FDT02,Dairy,OUT046,Tier 1,Small,Supermarket Type1,0.024194731,12.6,5.0,8,-3.7216203967982473,3.6159699942266026
Low Fat,FDF05,Frozen Foods,OUT046,Tier 1,Small,Supermarket Type1,0.02687089,17.5,5.0,8,-3.6167117344618886,5.581580941802348
Low Fat,FDI45,Fruits and Vegetables,OUT046,Tier 1,Small,Supermarket Type1,0.037581243,13.1,5.0,8,-3.2812502094395093,5.173351470806187
Low Fat,FDZ20,Fruits and Vegetables,OUT046,Tier 1,Small,Supermarket Type1,0.034306962,16.1,5.0,8,-3.3724069716456966,5.534715091940661
Low Fat,NCC42,Health and Hygiene,OUT046,Tier 1,Small,Supermarket Type1,0.044908404,15.0,5.0,8,-3.1031303302561217,4.950770633436176
Low Fat,NCQ53,Health and Hygiene,OUT046,Tier 1,Small,Supermarket Type1,0.018905326,17.6,5.0,8,-3.9683115976726056,5.462385844874681
Low Fat,NCR54,Household,OUT046,Tier 1,Small,Supermarket Type1,0.090562192,16.35,5.0,8,-2.401718459873203,5.294364564509415
Low Fat,NCX06,Household,OUT046,Tier 1,Small,Supermarket Type1,0.015687045,17.6,5.0,8,-4.154920066494822,5.213290927356203
Low Fat,NCO06,Household,OUT046,Tier 1,Small,Supermarket Type1,0.108030434,19.25,5.0,8,-2.22534229525874,3.510225164667453
Low Fat,NCN54,Household,OUT046,Tier 1,Small,Supermarket Type1,0.021326471,20.35,5.0,8,-3.8478062079130697,4.345528611633681
Low Fat,FDL27,Meat,OUT046,Tier 1,Small,Supermarket Type1,0.010630949,6.17,5.0,8,-4.543985814978117,4.204432884170156
Low Fat,FDV51,Meat,OUT046,Tier 1,Small,Supermarket Type1,0.032538896,16.35,5.0,8,-3.4253191052406735,5.116700761217401
Low Fat,FDC46,Snack Foods,OUT046,Tier 1,Small,Supermarket Type1,0.116542484,17.7,5.0,8,-2.1494994029242562,5.212904347866563
Low Fat,FDZ58,Snack Foods,OUT046,Tier 1,Small,Supermarket Type1,0.052176861,17.85,5.0,8,-2.9531161582314014,4.818725516879237
Low Fat,FDN21,Snack Foods,OUT046,Tier 1,Small,Supermarket Type1,0.076855628,18.6,5.0,8,-2.565826578107086,5.087742003634573
Low Fat,FDO58,Snack Foods,OUT046,Tier 1,Small,Supermarket Type1,0.039577173,19.6,5.0,8,-3.2295027663207034,5.118907167635948
Low Fat,DRD24,Soft Drinks,OUT046,Tier 1,Small,Supermarket Type1,0.030795085,13.85,5.0,8,-3.4804001796585977,4.972001182192148
Low Fat,DRI37,Soft Drinks,OUT046,Tier 1,Small,Supermarket Type1,0.107597879,15.85,5.0,8,-2.229354343344646,4.090845112952388
Regular,FDI12,Baking Goods,OUT046,Tier 1,Small,Supermarket Type1,0.10039894,9.395,5.0,8,-2.298603629549166,4.507398579356701
Regular,FDP12,Baking Goods,OUT046,Tier 1,Small,Supermarket Type1,0.045266806,9.8,5.0,8,-3.0951812744744234,3.6372545257945634
Regular,FDO01,Breakfast,OUT046,Tier 1,Small,Supermarket Type1,0.020718655,21.1,5.0,8,-3.8767207768252163,4.879002288869767
Regular,FDZ37,Canned,OUT046,Tier 1,Small,Supermarket Type1,0.019768503,8.1,5.0,8,-3.9236653654556495,4.495576277710785
Regular,FDJ15,Dairy,OUT046,Tier 1,Small,Supermarket Type1,0.023322478,11.35,5.0,8,-3.758337662424704,5.21254594776512
Regular,FDM04,Frozen Foods,OUT046,Tier 1,Small,Supermarket Type1,0.04712061,9.195,5.0,8,-3.0550447940519723,3.992064482331694
Regular,FDI40,Frozen Foods,OUT046,Tier 1,Small,Supermarket Type1,0.125602951,11.5,5.0,8,-2.0746295300011175,4.623361712236103
Regular,FDX04,Frozen Foods,OUT046,Tier 1,Small,Supermarket Type1,0.041571557,19.6,5.0,8,-3.1803390715236506,3.9306013541893385
Regular,FDS15,Meat,OUT046,Tier 1,Small,Supermarket Type1,0.078060601,9.195,5.0,8,-2.5502698180535677,4.6761839474340166
Regular,FDJ57,Seafood,OUT046,Tier 1,Small,Supermarket Type1,0.021573645,7.42,5.0,8,-3.836282848156405,5.223907348783132
Regular,FDG21,Seafood,OUT046,Tier 1,Small,Supermarket Type1,0.146299902,17.35,5.0,8,-1.922096640812742,5.019958365557107
Regular,FDW21,Snack Foods,OUT046,Tier 1,Small,Supermarket Type1,0.005963881,5.34,5.0,8,-5.122033835330353,4.610513882973712
Regular,FDX10,Snack Foods,OUT046,Tier 1,Small,Supermarket Type1,0.123710526,6.385,5.0,8,-2.089810910237041,3.6425056182704476
Low Fat,DRI51,Dairy,OUT045,Tier 2,Medium,Supermarket Type1,1e-09,17.25,5.0,9,-20.72326583694641,5.150840036971526
Low Fat,NCZ17,Health and Hygiene,OUT017,Tier 2,Medium,Supermarket Type1,1e-09,12.15,5.0,4,-20.72326583694641,3.69263738424126
Low Fat,DRE25,Soft Drinks,OUT017,Tier 2,Medium,Supermarket Type1,0.073697713,15.35,5.0,4,-2.6077835114759225,4.531652808629694
Low Fat,FDT60,Baking Goods,OUT045,Tier 2,Medium,Supermarket Type1,0.075701524,12.0,5.0,9,-2.5809569866409854,4.833411123526457
Low Fat,FDN24,Baking Goods,OUT045,Tier 2,Medium,Supermarket Type1,0.11349714,14.1,5.0,9,-2.175977640616046,4.0464769723500975
Low Fat,FDO37,Breakfast,OUT045,Tier 2,Medium,Supermarket Type1,0.021420031,8.06,5.0,9,-3.843428766718017,5.451178357941717
Low Fat,FDI14,Canned,OUT045,Tier 2,Medium,Supermarket Type1,0.089859642,14.1,5.0,9,-2.4095063593231316,4.950528538164133
Low Fat,FDW37,Canned,OUT045,Tier 2,Medium,Supermarket Type1,0.124301968,19.2,5.0,9,-2.0850414479278947,4.508095249917038
Low Fat,DRC27,Dairy,OUT045,Tier 2,Medium,Supermarket Type1,0.058220302,13.8,5.0,9,-2.8435211534572273,5.515363164293807
Low Fat,FDK16,Frozen Foods,OUT045,Tier 2,Medium,Supermarket Type1,0.115563679,9.065,5.0,9,-2.157933567615338,4.574807881024677
Low Fat,FDK41,Frozen Foods,OUT045,Tier 2,Medium,Supermarket Type1,0.12780038,14.3,5.0,9,-2.057285763647192,4.438199006979065
Low Fat,FDY31,Fruits and Vegetables,OUT045,Tier 2,Medium,Supermarket Type1,0.043651198,5.98,5.0,9,-3.1315245514832295,4.99139674767654
Low Fat,FDT20,Fruits and Vegetables,OUT045,Tier 2,Medium,Supermarket Type1,0.041479396,10.5,5.0,9,-3.1825584569611562,3.632742870968313
Low Fat,FDI45,Fruits and Vegetables,OUT045,Tier 2,Medium,Supermarket Type1,0.037657459,13.1,5.0,9,-3.2792242301484356,5.175049692723541
Low Fat,FDG57,Fruits and Vegetables,OUT045,Tier 2,Medium,Supermarket Type1,0.072444983,14.7,5.0,9,-2.624927860370256,3.904059379768645
Low Fat,FDN32,Fruits and Vegetables,OUT045,Tier 2,Medium,Supermarket Type1,0.015591925,17.5,5.0,9,-4.161002126947502,5.2248139808258705
Low Fat,FDX19,Fruits and Vegetables,OUT045,Tier 2,Medium,Supermarket Type1,0.096929994,19.1,5.0,9,-2.3337662723779626,5.4591420115561045
Low Fat,FDP20,Fruits and Vegetables,OUT045,Tier 2,Medium,Supermarket Type1,0.045761855,19.85,5.0,9,-3.084304395144808,4.841048307373602
Low Fat,NCR17,Health and Hygiene,OUT045,Tier 2,Small,Supermarket Type1,0.024432767,9.8,5.0,9,-3.7118301377438705,4.766005899672614
Low Fat,NCT17,Health and Hygiene,OUT045,Tier 2,Small,Supermarket Type1,0.041950753,10.8,5.0,9,-3.171258896289615,5.252385463655224
Low Fat,NCU05,Health and Hygiene,OUT045,Tier 2,Small,Supermarket Type1,0.058855357,11.8,5.0,9,-2.8326724213812686,4.384047092174264
Low Fat,NCT42,Household,OUT045,Tier 2,Small,Supermarket Type1,0.024937792,5.88,5.0,9,-3.691370875127425,5.006889621147145
Low Fat,NCV18,Household,OUT045,Tier 2,Small,Supermarket Type1,0.105459307,6.775,5.0,9,-2.2494301161132375,4.449977296582389
Low Fat,NCH43,Household,OUT045,Tier 2,Small,Supermarket Type1,0.070712031,8.42,5.0,9,-2.6491395508255775,5.38182728725478
Low Fat,NCE18,Household,OUT045,Tier 2,Small,Supermarket Type1,0.021468792,10.0,5.0,9,-3.84115493322955,5.532104077960726
Low Fat,NCC18,Household,OUT045,Tier 2,Small,Supermarket Type1,0.177629525,19.1,5.0,9,-1.7280552178717619,5.164455633652889
Low Fat,NCJ42,Household,OUT045,Tier 2,Small,Supermarket Type1,0.01433033,19.75,5.0,9,-4.245377008795906,4.656178839869376
Low Fat,FDQ10,Snack Foods,OUT045,Tier 2,Small,Supermarket Type1,0.03324652,12.85,5.0,9,-3.4038051790118224,5.155844402672679
Low Fat,FDL34,Snack Foods,OUT045,Tier 2,Small,Supermarket Type1,0.041028937,16.0,5.0,9,-3.1934776807359455,4.967377000875651
Low Fat,DRK37,Soft Drinks,OUT045,Tier 2,Small,Supermarket Type1,1e-09,5.0,5.0,9,-20.72326583694641,5.25150349821886
Low Fat,DRF48,Soft Drinks,OUT045,Tier 2,Small,Supermarket Type1,0.05190652,5.73,5.0,9,-2.958310870496366,5.2427507439594425
Low Fat,DRG49,Soft Drinks,OUT045,Tier 2,Small,Supermarket Type1,0.067592098,7.81,5.0,9,-2.6942641962569196,5.509585078406648
Low Fat,FDX60,Baking Goods,OUT017,Tier 2,Small,Supermarket Type1,0.081050006,14.35,5.0,4,-2.5126889567720774,4.384473638316933
Low Fat,FDS13,Canned,OUT017,Tier 2,Small,Supermarket Type1,0.125210375,6.465,5.0,4,-2.0777599563373124,5.590570475874394
Low Fat,FDC50,Canned,OUT017,Tier 2,Small,Supermarket Type1,0.13727,15.85,5.0,4,-1.9858054897185689,4.558177106094992
Low Fat,FDK51,Dairy,OUT017,Tier 2,Small,Supermarket Type1,0.005264755,19.85,5.0,4,-5.2467206681921255,5.581947741949716
